timestep,mean_reward,std_reward,hit_rate,other_side_rate,net_rate,wall_time
5000,-20.628669299637,0.26126563980288836,0.0,0.0,0.0,20.2
10000,-15.19732727026123,11.038039308981341,0.2,0.0,0.0,39.8
15000,-16.189420055677378,10.465674046378117,0.17,0.0,0.0,59.5
20000,-17.183183255282977,9.293373897326282,0.13,0.0,0.0,79.3
25000,-15.155055282706655,10.432682691030998,0.18,0.0,0.0,99.2
30000,-10.060528987118873,13.335702304070056,0.38,0.0,0.0,118.8
35000,-9.502844990912973,12.778792164800482,0.38,0.0,0.0,138.9
40000,-15.186645200176605,10.282285835387391,0.18,0.0,0.0,159.0
45000,-10.441785770590702,11.638404003445652,0.44,0.0,0.21,183.5
50000,-15.537377270866141,10.42105165064188,0.18,0.0,0.0,203.5
55000,-14.722096259163198,11.066975601655493,0.21,0.0,0.0,224.8
60000,-15.114289858083184,10.617230942268005,0.19,0.0,0.0,244.6
65000,-13.600651840507583,10.921143432870828,0.22,0.0,0.0,264.3
70000,-14.163122579198417,10.485034602887355,0.2,0.0,0.0,283.8
75000,-19.764909372181453,0.3257735259101503,0.0,0.0,0.0,303.9
80000,-13.076712182578621,11.406401993752734,0.26,0.0,0.0,323.7
85000,-14.07743470967549,11.926087562540486,0.21,0.0,0.21,345.3
90000,-15.675773119540183,9.64078651827686,0.18,0.0,0.0,366.0
95000,-15.767893424218387,9.515562176402613,0.21,0.0,0.0,387.8
100000,-22.245459512131337,2.4345723016296468,0.14,0.0,0.14,415.4
105000,-16.161516063413938,10.530217746083173,0.2,0.0,0.0,437.3
110000,-9.907828576521284,13.284854205182661,0.41,0.0,0.0,457.7
115000,-16.679056499788036,10.440851106032211,0.18,0.0,0.0,478.7
120000,-7.9543735600983165,13.96731073239128,0.48,0.0,0.21,500.7
125000,-11.084206790493633,13.185371403484064,0.37,0.0,0.13,523.1
130000,-12.478995561833047,10.898164911702011,0.44,0.0,0.2,551.7
135000,-9.978572558054307,12.966925341207043,0.42,0.0,0.0,573.5
140000,-13.915996629565022,10.623981123361638,0.34,0.0,0.21,601.3
145000,-11.469385824107665,13.355598662973591,0.37,0.0,0.0,620.9
150000,-13.895720091312763,11.999524762003942,0.29,0.0,0.0,641.5
155000,-4.856507253082004,12.657286539658985,0.64,0.0,0.0,663.5
160000,-5.366189832308183,13.49135318924603,0.6,0.0,0.0,683.7
165000,-4.737938702000564,13.83677140759528,0.61,0.0,0.0,703.3
170000,-8.395899101008263,14.434216151102646,0.47,0.0,0.0,723.0
175000,-5.179220329289381,13.237485485852098,0.62,0.0,0.0,743.0
180000,-5.6084015287936335,13.898569081383648,0.58,0.0,0.0,763.1
185000,-4.0942995590107385,13.387197434610517,0.64,0.0,0.0,782.7
190000,-8.711973303359297,13.403830955989744,0.48,0.0,0.0,802.8
195000,-3.083799119932461,14.043279578659332,0.65,0.0,0.0,822.7
200000,-4.926517989471112,13.814168726968907,0.61,0.0,0.0,842.5
205000,-5.80640123313909,13.373552308959919,0.59,0.0,0.0,862.9
210000,-11.83594199938622,10.980684827160056,0.44,0.0,0.0,883.9
215000,-10.297168191669973,14.055589559146291,0.4,0.0,0.0,904.0
220000,-14.427339716917583,11.24158429109277,0.26,0.0,0.0,924.5
225000,-12.590042228823524,12.811531759431864,0.33,0.0,0.0,944.3
230000,-11.567138585193666,12.863037009888902,0.37,0.0,0.0,964.0
235000,-4.7191266779485135,13.533213458711824,0.62,0.0,0.0,983.8
240000,-5.88313191705254,13.612806001983454,0.57,0.0,0.0,1003.7
245000,-4.736719711621183,13.288136622311928,0.61,0.0,0.0,1024.0
250000,-5.266475201126114,13.872635335998996,0.57,0.0,0.0,1044.4
255000,-2.5515223674731744,12.816473795802734,0.68,0.0,0.0,1065.2
260000,-12.335840772423712,11.401699874291966,0.37,0.0,0.0,1089.1
265000,-16.694997147207626,7.854113825854536,0.19,0.0,0.0,1110.8
270000,-10.715862572073732,12.983305541047777,0.38,0.0,0.0,1130.6
275000,-9.770280821710076,13.027341196960396,0.41,0.0,0.0,1150.3
280000,-5.828400199750447,11.954693111347963,0.64,0.0,0.0,1171.1
285000,-11.20922927944634,11.480707397462291,0.41,0.0,0.0,1193.2
290000,-14.0000090165992,10.137761973240018,0.31,0.0,0.0,1216.0
295000,-10.705729184736585,12.591073584594909,0.38,0.0,0.0,1237.0
300000,-10.254966605601396,12.11915007618666,0.41,0.0,0.0,1259.4
305000,-13.447419410856703,9.79714597492379,0.45,0.0,0.27,1295.9
310000,-13.59567595080582,9.761714423515102,0.38,0.0,0.21,1328.0
315000,-9.094953943961142,12.318080600840007,0.46,0.0,0.0,1351.3
320000,-11.46215725215979,11.593667401575072,0.37,0.0,0.25,1382.0
325000,-12.920162539761309,11.100093948324972,0.3,0.0,0.0,1403.3
330000,-15.130253042176198,9.572060783754816,0.22,0.0,0.0,1424.3
335000,-12.812858415680083,11.065389650226937,0.3,0.0,0.0,1445.6
340000,-9.797649765708828,11.633969271004785,0.43,0.0,0.0,1467.2
345000,-7.832334221139715,11.328001961925928,0.56,0.0,0.0,1488.6
350000,-4.032243548288863,12.853759864430613,0.61,0.0,0.0,1509.3
355000,-4.088382800059385,10.97130001316976,0.7,0.0,0.0,1529.3
360000,-5.187427762904965,12.097893812356839,0.61,0.0,0.0,1549.3
365000,-7.73594001570865,11.881799401632438,0.53,0.0,0.0,1569.9
370000,-5.913920220657571,11.372958438688388,0.63,0.0,0.0,1590.0
375000,-4.977125244172626,12.785889379571513,0.59,0.0,0.0,1610.3
380000,-12.195287439178035,11.917985774091859,0.3,0.0,0.0,1630.3
385000,-7.737547160336371,12.99415423448511,0.47,0.0,0.0,1650.2
390000,-9.746141766306486,12.651860195381696,0.39,0.0,0.0,1670.0
395000,-5.1997945958198395,11.796221708098097,0.62,0.0,0.17,1695.4
400000,-1.5433634511500407,12.615210922958008,0.68,0.0,0.26,1716.5
405000,-7.421061727888968,11.90627542484611,0.54,0.0,0.15,1740.8
410000,-6.100690703295669,12.735905043354158,0.54,0.0,0.0,1760.8
415000,-4.171528694785764,12.583305335951033,0.61,0.0,0.0,1780.4
420000,-9.642932878931397,12.851513237245607,0.4,0.0,0.0,1800.1
425000,-3.256805447133088,12.522479869494585,0.65,0.0,0.0,1819.7
430000,-3.4264886789793176,12.659898524733933,0.63,0.0,0.0,1839.5
435000,-9.829619212882557,12.79001605045528,0.39,0.0,0.0,1859.3
440000,-3.5198541553570277,12.56274482021027,0.63,0.0,0.0,1879.1
445000,-4.822413384657611,13.012456261462063,0.58,0.0,0.0,1899.0
450000,-9.07681631024327,12.70484611758911,0.41,0.0,0.0,1918.7
455000,-6.242157745559182,12.658478243242893,0.59,0.0,0.32,1946.1
460000,-7.268660046651405,11.023193553135146,0.59,0.0,0.21,1977.9
