timestep,mean_reward,std_reward,hit_rate,other_side_rate,net_rate,wall_time
5000,-20.697438361564387,0.5662104285029292,0.0,0.0,0.0,34.9
10000,-16.857602965059503,8.804696768470246,0.12,0.0,0.0,72.7
15000,-19.592100375225883,0.3684802151379032,0.0,0.0,0.0,112.4
20000,-18.90614708292821,0.717139337973016,0.0,0.0,0.0,150.8
25000,-18.839464149443796,0.3258753862536101,0.0,0.0,0.0,190.4
30000,-15.198860569288401,10.076258100885859,0.17,0.0,0.0,228.5
35000,-20.09822047983499,0.4081913599779692,0.0,0.0,0.0,265.2
40000,-19.715218819226003,0.9282982339921364,0.0,0.0,0.0,304.4
45000,-20.166066789761295,1.2663699056864277,0.0,0.0,0.0,343.5
50000,-20.777157653259756,0.8293277382882375,0.0,0.0,0.0,383.9
55000,-17.36803834672732,6.047236444666392,0.18,0.0,0.0,424.2
60000,-20.286229349517757,1.2885731223271362,0.0,0.0,0.0,462.5
